model_name,seed,size_hidden,act_name,weight_initializer,trainer,alpha
BBO-RVFL,10,61,mish,he_uniform,MPI,15.207564059157638
BBO-RVFL,15,59,silu,orthogonal,MPI,26.724367420395517
BBO-RVFL,21,47,gelu,random_uniform,MPI,11.09153462856349
BBO-RVFL,24,66,silu,lecun_normal,MPI,22.040651310600406
BBO-RVFL,27,57,silu,lecun_uniform,MPI,10.804085317428488
BBO-RVFL,29,62,mish,lecun_uniform,MPI,43.05698283844777
BBO-RVFL,30,68,mish,lecun_uniform,MPI,19.55757122711358
BBO-RVFL,35,120,swish,random_normal,L2,2.191059891077255
BBO-RVFL,40,142,mish,random_normal,L2,2.3294428393128515
BBO-RVFL,42,127,selu,random_normal,L2,2.0893402934400247
SADE-RVFL,10,56,gelu,he_uniform,MPI,6.599664352195278
SADE-RVFL,15,136,leaky_relu,orthogonal,L2,0.01
SADE-RVFL,21,107,gelu,he_normal,L2,0.010000000000000439
SADE-RVFL,24,68,silu,he_normal,MPI,1.3331553345058147
SADE-RVFL,27,138,celu,random_normal,L2,0.04142755451802016
SADE-RVFL,29,61,mish,glorot_uniform,MPI,48.25610654146609
SADE-RVFL,30,26,mish,orthogonal,MPI,38.86590638941985
SADE-RVFL,35,132,relu,orthogonal,L2,0.01
SADE-RVFL,40,114,sigmoid,random_normal,L2,0.01
SADE-RVFL,42,124,relu,he_uniform,L2,0.01
SHADE-RVFL,10,56,gelu,he_uniform,MPI,14.39466851464256
SHADE-RVFL,15,136,relu,orthogonal,L2,0.01
SHADE-RVFL,21,137,swish,random_normal,L2,0.01
SHADE-RVFL,24,96,gelu,he_normal,L2,0.010000000000000009
SHADE-RVFL,27,127,leaky_relu,orthogonal,L2,0.01
SHADE-RVFL,29,61,mish,glorot_uniform,MPI,39.41217086827836
SHADE-RVFL,30,122,gelu,he_uniform,L2,0.01
SHADE-RVFL,35,116,silu,random_normal,L2,0.6356684813676695
SHADE-RVFL,40,136,celu,random_normal,L2,0.5193325283061466
SHADE-RVFL,42,45,silu,random_uniform,MPI,35.4601891482614
LCO-RVFL,10,56,elu,glorot_normal,MPI,41.926898850532986
LCO-RVFL,15,91,silu,orthogonal,MPI,23.35775968026888
LCO-RVFL,21,53,gelu,he_normal,MPI,44.6703409434278
LCO-RVFL,24,68,gelu,glorot_normal,MPI,33.11489957282305
LCO-RVFL,27,77,silu,lecun_normal,MPI,46.782033775217315
LCO-RVFL,29,150,mish,random_normal,L2,0.5760614645060904
LCO-RVFL,30,63,gelu,glorot_uniform,MPI,21.80539393600257
LCO-RVFL,35,112,mish,random_normal,L2,0.7689790473511232
LCO-RVFL,40,131,mish,random_normal,L2,0.7743367505539268
LCO-RVFL,42,96,sigmoid,orthogonal,MPI,30.569130774383275
INFO-RVFL,10,56,celu,glorot_normal,MPI,48.74599596345223
INFO-RVFL,15,141,mish,random_normal,L2,0.3417341873507056
INFO-RVFL,21,53,gelu,he_normal,MPI,48.32691377130916
INFO-RVFL,24,68,mish,glorot_normal,MPI,50.0
INFO-RVFL,27,146,relu,orthogonal,L2,0.01
INFO-RVFL,29,150,leaky_relu,he_normal,L2,0.010464221976927715
INFO-RVFL,30,64,gelu,glorot_normal,MPI,40.2245907591309
INFO-RVFL,35,132,leaky_relu,orthogonal,L2,0.01
INFO-RVFL,40,149,leaky_relu,orthogonal,L2,0.01
INFO-RVFL,42,120,tanh,random_normal,L2,0.011261728723837556
QLE-SCA-RVFL,10,57,mish,glorot_uniform,MPI,29.75124960998381
QLE-SCA-RVFL,15,66,mish,he_uniform,MPI,5.119559019146138
QLE-SCA-RVFL,21,46,mish,orthogonal,MPI,7.336351175929717
QLE-SCA-RVFL,24,144,silu,random_normal,L2,1.3216753991435548
QLE-SCA-RVFL,27,70,elu,orthogonal,MPI,34.6788449591332
QLE-SCA-RVFL,29,61,mish,lecun_uniform,MPI,43.12268324668309
QLE-SCA-RVFL,30,63,swish,he_normal,MPI,24.97490826161756
QLE-SCA-RVFL,35,121,mish,random_normal,L2,1.2244013631107242
QLE-SCA-RVFL,40,76,mish,he_normal,MPI,37.702001603695514
QLE-SCA-RVFL,42,136,selu,random_normal,L2,3.581654440806545
SHIO-RVFL,10,55,gelu,glorot_uniform,MPI,31.627419679067213
SHIO-RVFL,15,150,leaky_relu,glorot_normal,L2,0.013571261957531994
SHIO-RVFL,21,107,celu,glorot_normal,L2,0.01
SHIO-RVFL,24,68,gelu,glorot_normal,MPI,44.844077851504586
SHIO-RVFL,27,145,celu,random_normal,L2,0.07010472024716868
SHIO-RVFL,29,141,mish,random_normal,L2,2.5118480479999046
SHIO-RVFL,30,62,mish,glorot_normal,MPI,15.710166201708825
SHIO-RVFL,35,150,hard_sigmoid,random_normal,L2,0.06318875274658975
SHIO-RVFL,40,116,gelu,glorot_normal,L2,0.01
SHIO-RVFL,42,89,celu,glorot_normal,L2,0.01
EFO-RVFL,10,32,elu,lecun_normal,MPI,41.35692581186952
EFO-RVFL,15,50,mish,orthogonal,MPI,26.724367420395517
EFO-RVFL,21,47,gelu,he_normal,MPI,47.91373960383846
EFO-RVFL,24,55,mish,lecun_normal,MPI,29.01386707981807
EFO-RVFL,27,77,mish,lecun_normal,MPI,13.424422242636643
EFO-RVFL,29,147,mish,random_normal,L2,2.5118480479999046
EFO-RVFL,30,58,gelu,lecun_uniform,MPI,19.55757122711358
EFO-RVFL,35,112,mish,random_normal,L2,0.6506723379489907
EFO-RVFL,40,133,mish,random_normal,L2,0.6932999349452971
EFO-RVFL,42,23,relu,he_uniform,MPI,38.70006286731261
A-EO-RVFL,10,56,celu,glorot_normal,MPI,15.763212716297048
A-EO-RVFL,15,141,mish,random_normal,L2,0.4009174851594301
A-EO-RVFL,21,107,gelu,he_normal,L2,0.01
A-EO-RVFL,24,96,gelu,glorot_normal,L2,0.01
A-EO-RVFL,27,138,celu,random_normal,L2,0.04110193533409776
A-EO-RVFL,29,150,sigmoid,random_normal,L2,0.012514450660926525
A-EO-RVFL,30,98,gelu,glorot_normal,L2,0.01
A-EO-RVFL,35,137,hard_sigmoid,random_normal,L2,0.01
A-EO-RVFL,40,93,gelu,he_normal,L2,0.01
A-EO-RVFL,42,124,leaky_relu,he_uniform,L2,0.01
RIME-RVFL,10,56,gelu,he_uniform,MPI,49.21495139672348
RIME-RVFL,15,136,leaky_relu,orthogonal,L2,0.010000000000001823
RIME-RVFL,21,64,silu,orthogonal,MPI,41.45836045952945
RIME-RVFL,24,68,swish,lecun_normal,MPI,1.557147323842992
RIME-RVFL,27,138,celu,random_normal,L2,0.038326492819284595
RIME-RVFL,29,62,mish,glorot_uniform,MPI,0.01
RIME-RVFL,30,63,mish,lecun_normal,MPI,34.2082562490458
RIME-RVFL,35,137,hard_sigmoid,random_normal,L2,0.010000000000004209
RIME-RVFL,40,131,mish,random_normal,L2,1.0375009306437166
RIME-RVFL,42,125,gelu,he_normal,L2,0.010000000000001215
IM-ARO-RVFL,10,58,gelu,glorot_uniform,MPI,15.830172315864544
IM-ARO-RVFL,15,149,celu,random_normal,L2,0.22870332713769728
IM-ARO-RVFL,21,127,silu,random_normal,L2,0.06496670672202193
IM-ARO-RVFL,24,68,swish,lecun_normal,MPI,7.765248076049121
IM-ARO-RVFL,27,138,celu,random_normal,L2,0.04110848621558504
IM-ARO-RVFL,29,150,relu,glorot_normal,L2,0.011820559222255902
IM-ARO-RVFL,30,122,gelu,he_uniform,L2,0.01
IM-ARO-RVFL,35,116,swish,random_normal,L2,0.6531083406525142
IM-ARO-RVFL,40,135,celu,random_normal,L2,0.6186674758384946
IM-ARO-RVFL,42,126,leaky_relu,glorot_uniform,L2,0.01
HHO-RVFL,10,58,gelu,glorot_uniform,MPI,40.45000706412052
HHO-RVFL,15,112,celu,glorot_normal,L2,0.01
HHO-RVFL,21,107,celu,he_normal,L2,0.01
HHO-RVFL,24,96,gelu,he_normal,L2,0.01
HHO-RVFL,27,150,gelu,he_uniform,L2,0.01
HHO-RVFL,29,106,gelu,he_normal,L2,0.01
HHO-RVFL,30,63,gelu,he_uniform,MPI,22.57016573126481
HHO-RVFL,35,115,gelu,he_normal,L2,0.01
HHO-RVFL,40,70,gelu,he_normal,L2,0.01
HHO-RVFL,42,45,swish,random_uniform,MPI,10.037037508599772
AIW-PSO-RVFL,10,55,mish,glorot_uniform,MPI,13.110548236388103
AIW-PSO-RVFL,15,32,gelu,orthogonal,MPI,35.867311730474846
AIW-PSO-RVFL,21,54,gelu,he_normal,MPI,41.34484516214985
AIW-PSO-RVFL,24,63,silu,lecun_normal,MPI,42.381887664883195
AIW-PSO-RVFL,27,65,mish,orthogonal,MPI,14.3433685943475
AIW-PSO-RVFL,29,134,mish,random_normal,L2,0.4986995528815034
AIW-PSO-RVFL,30,63,silu,he_normal,MPI,15.3940129890105
AIW-PSO-RVFL,35,112,mish,random_normal,L2,0.8043993786033479
AIW-PSO-RVFL,40,112,celu,random_normal,L2,0.32484042382483286
AIW-PSO-RVFL,42,65,swish,random_uniform,MPI,35.911607848475555
CL-PSO-RVFL,10,119,selu,random_normal,L2,0.28609397308046314
CL-PSO-RVFL,15,140,mish,random_normal,L2,1.9977506329809414
CL-PSO-RVFL,21,67,gelu,orthogonal,MPI,36.3206025412739
CL-PSO-RVFL,24,68,gelu,glorot_normal,MPI,20.33688222677183
CL-PSO-RVFL,27,76,gelu,lecun_normal,MPI,39.53741103803494
CL-PSO-RVFL,29,66,gelu,glorot_uniform,MPI,18.061267876496498
CL-PSO-RVFL,30,65,mish,glorot_uniform,MPI,19.94648601252701
CL-PSO-RVFL,35,137,leaky_relu,orthogonal,L2,0.010021235844701907
CL-PSO-RVFL,40,136,leaky_relu,random_normal,L2,1.1405438444912035
CL-PSO-RVFL,42,127,celu,random_normal,L2,3.8008896516954436
