model_name,seed,size_hidden,act_name,weight_initializer,trainer,alpha
BBO-RVFL,10,67,selu,glorot_uniform,MPI,37.281554750086435
BBO-RVFL,15,69,selu,glorot_uniform,MPI,22.85591368368748
BBO-RVFL,21,143,hard_tanh,random_normal,L2,4.464002667381225
BBO-RVFL,24,124,swish,random_uniform,L2,2.0659003175307507
BBO-RVFL,27,57,selu,glorot_uniform,MPI,15.094381292029421
BBO-RVFL,29,141,selu,random_normal,L2,2.5118480479999046
BBO-RVFL,30,91,swish,random_uniform,MPI,38.36601294791595
BBO-RVFL,35,71,mish,random_normal,L2,0.06128580845965532
BBO-RVFL,40,139,gelu,random_normal,L2,5.440327705113645
BBO-RVFL,42,68,selu,lecun_normal,MPI,3.2002246326477244
SADE-RVFL,10,68,silu,random_normal,L2,0.06833485265351036
SADE-RVFL,15,98,selu,glorot_uniform,L2,0.01
SADE-RVFL,21,141,sigmoid,random_normal,L2,0.01
SADE-RVFL,24,97,tanh,random_normal,L2,0.17694274466371593
SADE-RVFL,27,101,hard_tanh,random_normal,L2,0.01
SADE-RVFL,29,68,selu,orthogonal,L2,0.01
SADE-RVFL,30,58,silu,random_uniform,MPI,21.49308814731181
SADE-RVFL,35,115,tanh,random_normal,L2,0.034199905544004316
SADE-RVFL,40,106,selu,orthogonal,L2,0.01
SADE-RVFL,42,150,selu,glorot_normal,L2,0.01
SHADE-RVFL,10,77,silu,random_normal,L2,0.09734057856477585
SHADE-RVFL,15,112,selu,he_uniform,L2,0.01
SHADE-RVFL,21,141,sigmoid,random_normal,L2,0.010000000000000002
SHADE-RVFL,24,146,tanh,random_normal,L2,0.6347829838375748
SHADE-RVFL,27,150,selu,glorot_uniform,L2,0.01
SHADE-RVFL,29,51,rrelu,he_uniform,L2,0.01
SHADE-RVFL,30,58,swish,random_uniform,MPI,0.01
SHADE-RVFL,35,136,leaky_relu,he_uniform,L2,0.01
SHADE-RVFL,40,67,tanh,random_normal,L2,1.2101488790470776
SHADE-RVFL,42,87,selu,glorot_normal,L2,0.010021878306058642
LCO-RVFL,10,67,selu,glorot_uniform,MPI,37.281554750086435
LCO-RVFL,15,66,selu,glorot_uniform,MPI,33.266890225328865
LCO-RVFL,21,92,tanh,random_normal,L2,24.99482128162543
LCO-RVFL,24,150,tanh,random_normal,L2,1.4000919215143812
LCO-RVFL,27,50,gelu,he_normal,MPI,16.186340165490243
LCO-RVFL,29,84,hard_shrink,he_uniform,L2,1.4613119381750361
LCO-RVFL,30,58,swish,random_uniform,MPI,30.115693527624927
LCO-RVFL,35,148,leaky_relu,orthogonal,L2,0.015386422350022683
LCO-RVFL,40,146,hard_tanh,random_normal,L2,1.5684225203180417
LCO-RVFL,42,66,selu,glorot_normal,MPI,35.25440630430298
INFO-RVFL,10,46,selu,glorot_uniform,MPI,28.613079544360044
INFO-RVFL,15,66,selu,glorot_uniform,MPI,22.231205223512784
INFO-RVFL,21,96,hard_tanh,random_normal,L2,45.16385634034979
INFO-RVFL,24,134,selu,lecun_uniform,L2,0.01
INFO-RVFL,27,50,gelu,he_normal,MPI,3.060730636740725
INFO-RVFL,29,150,hard_sigmoid,random_normal,L2,0.12795271086391682
INFO-RVFL,30,20,leaky_relu,orthogonal,MPI,4.444061322109247
INFO-RVFL,35,111,hard_tanh,random_normal,L2,10.613396610164564
INFO-RVFL,40,150,hard_tanh,random_normal,L2,13.77976465889992
INFO-RVFL,42,66,selu,he_normal,MPI,46.30914582909539
QLE-SCA-RVFL,10,67,selu,glorot_uniform,MPI,38.44757460616555
QLE-SCA-RVFL,15,132,gelu,random_normal,L2,22.991439027473177
QLE-SCA-RVFL,21,93,tanh,random_normal,L2,35.30687808798926
QLE-SCA-RVFL,24,126,hard_tanh,random_normal,L2,12.968185318374546
QLE-SCA-RVFL,27,57,selu,glorot_uniform,MPI,16.450772111032645
QLE-SCA-RVFL,29,52,hard_shrink,lecun_uniform,L2,14.45868899211736
QLE-SCA-RVFL,30,58,swish,random_uniform,MPI,31.904472872392912
QLE-SCA-RVFL,35,105,tanh,random_normal,L2,9.77084296071924
QLE-SCA-RVFL,40,135,hard_tanh,random_normal,L2,7.142674232950167
QLE-SCA-RVFL,42,86,tanh,random_normal,L2,30.385572810681737
SHIO-RVFL,10,67,selu,glorot_uniform,MPI,37.281554750086435
SHIO-RVFL,15,105,relu,lecun_uniform,L2,0.12227054062022087
SHIO-RVFL,21,146,celu,random_normal,L2,0.28182235433254094
SHIO-RVFL,24,103,tanh,random_normal,L2,0.31871526219468815
SHIO-RVFL,27,50,gelu,he_normal,MPI,16.186340165490243
SHIO-RVFL,29,128,leaky_relu,he_uniform,L2,0.020610121197065318
SHIO-RVFL,30,20,relu,orthogonal,MPI,11.797582252578515
SHIO-RVFL,35,100,hard_tanh,random_normal,L2,2.1426196045425514
SHIO-RVFL,40,139,mish,random_normal,L2,5.440327705113645
SHIO-RVFL,42,81,sigmoid,random_normal,L2,0.01
EFO-RVFL,10,46,selu,glorot_uniform,MPI,37.281554750086435
EFO-RVFL,15,51,selu,glorot_uniform,MPI,38.46597764844239
EFO-RVFL,21,113,relu,random_normal,L2,11.994022674121743
EFO-RVFL,24,94,prelu,random_uniform,L2,8.25740592808835
EFO-RVFL,27,50,gelu,he_normal,MPI,16.186340165490243
