model_name,seed,size_hidden,act_name,weight_initializer,trainer,alpha
BBO-RVFL,10,103,silu,orthogonal,MPI,78.60856988464262
BBO-RVFL,15,103,silu,orthogonal,MPI,78.60856988464262
BBO-RVFL,21,103,silu,orthogonal,MPI,78.60856988464262
BBO-RVFL,24,103,silu,orthogonal,MPI,78.60856988464262
BBO-RVFL,27,103,silu,orthogonal,MPI,78.60856988464262
BBO-RVFL,29,103,silu,orthogonal,MPI,78.60856988464262
BBO-RVFL,30,103,silu,orthogonal,MPI,78.60856988464262
BBO-RVFL,35,103,silu,orthogonal,MPI,78.60856988464262
BBO-RVFL,40,103,silu,orthogonal,MPI,78.60856988464262
BBO-RVFL,42,103,silu,orthogonal,MPI,78.60856988464262
SADE-RVFL,10,145,silu,lecun_uniform,MPI,71.35769824450549
SADE-RVFL,15,145,silu,lecun_uniform,MPI,71.35769824450549
SADE-RVFL,21,145,silu,lecun_uniform,MPI,71.35769824450549
SADE-RVFL,24,145,silu,lecun_uniform,MPI,71.35769824450549
SADE-RVFL,27,145,silu,lecun_uniform,MPI,71.35769824450549
SADE-RVFL,29,145,silu,lecun_uniform,MPI,71.35769824450549
SADE-RVFL,30,145,silu,lecun_uniform,MPI,71.35769824450549
SADE-RVFL,35,145,silu,lecun_uniform,MPI,71.35769824450549
SADE-RVFL,40,145,silu,lecun_uniform,MPI,71.35769824450549
SADE-RVFL,42,145,silu,lecun_uniform,MPI,71.35769824450549
SHADE-RVFL,10,145,silu,glorot_uniform,MPI,87.78389558731348
SHADE-RVFL,15,145,silu,glorot_uniform,MPI,87.78389558731348
SHADE-RVFL,21,145,silu,glorot_uniform,MPI,87.78389558731348
SHADE-RVFL,24,145,silu,glorot_uniform,MPI,87.78389558731348
SHADE-RVFL,27,145,silu,glorot_uniform,MPI,87.78389558731348
SHADE-RVFL,29,145,silu,glorot_uniform,MPI,87.78389558731348
SHADE-RVFL,30,145,silu,glorot_uniform,MPI,87.78389558731348
SHADE-RVFL,35,145,silu,glorot_uniform,MPI,87.78389558731348
SHADE-RVFL,40,145,silu,glorot_uniform,MPI,87.78389558731348
SHADE-RVFL,42,145,silu,glorot_uniform,MPI,87.78389558731348
LCO-RVFL,10,147,silu,he_uniform,MPI,100.0
LCO-RVFL,15,147,silu,he_uniform,MPI,100.0
LCO-RVFL,21,147,silu,he_uniform,MPI,100.0
LCO-RVFL,24,147,silu,he_uniform,MPI,100.0
LCO-RVFL,27,147,silu,he_uniform,MPI,100.0
LCO-RVFL,29,147,silu,he_uniform,MPI,100.0
LCO-RVFL,30,147,silu,he_uniform,MPI,100.0
LCO-RVFL,35,147,silu,he_uniform,MPI,100.0
LCO-RVFL,40,147,silu,he_uniform,MPI,100.0
LCO-RVFL,42,147,silu,he_uniform,MPI,100.0
INFO-RVFL,10,145,silu,lecun_uniform,MPI,44.45775276284222
INFO-RVFL,15,145,silu,lecun_uniform,MPI,44.45775276284222
INFO-RVFL,21,145,silu,lecun_uniform,MPI,44.45775276284222
INFO-RVFL,24,145,silu,lecun_uniform,MPI,44.45775276284222
INFO-RVFL,27,145,silu,lecun_uniform,MPI,44.45775276284222
INFO-RVFL,29,145,silu,lecun_uniform,MPI,44.45775276284222
INFO-RVFL,30,145,silu,lecun_uniform,MPI,44.45775276284222
INFO-RVFL,35,145,silu,lecun_uniform,MPI,44.45775276284222
