,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
A-EO-RVFL,27.3,10.263744172788234,0.9966666666666664,0.0,0.9840867381435332,0.0,0.982907354431134,0.0,0.9832972259521678,0.0,0.9981338148396943,0.0,0.9981510748356872,0.0
AIW-PSO-RVFL,27.3,10.263744172788234,0.9966666666666664,0.0,0.9833063825230244,0.0,0.9837208713272544,0.0,0.9833158381396252,0.0,0.9981456171226238,0.0,0.9981404553785944,0.0
BBO-RVFL,27.3,10.263744172788234,0.9955555555555555,0.0,0.9773932436342208,0.0,0.9786718517194112,0.0,0.9779400389473946,0.0,0.9975268161649294,0.0,0.9975147049341354,0.0
CL-PSO-RVFL,27.3,10.263744172788234,0.9949999999999999,0.0,0.9739444868856634,0.0,0.9733644463588144,0.0,0.9732960253260252,0.0,0.9972405162808041,0.0,0.9972365055844084,0.0
EFO-RVFL,27.3,10.263744172788234,0.9966666666666668,0.0,0.982766089482731,0.0,0.9845542046605876,0.0,0.9835825876762494,0.0,0.998149335285851,0.0,0.9981292817546166,0.0
HHO-RVFL,27.3,10.263744172788234,0.9966666666666664,0.0,0.9840867381435332,0.0,0.982907354431134,0.0,0.9832972259521678,0.0,0.9981338148396943,0.0,0.9981510748356872,0.0
IM-ARO-RVFL,27.3,10.263744172788234,0.9968333333333333,0.0002683588286329721,0.9837853202519617,0.001641117452025789,0.9853042046605877,0.001207614728849101,0.9844633536063073,0.0014181678797417796,0.9982402443767603,0.00014637754289094162,0.9982227222922886,0.0001504535594190331
INFO-RVFL,27.3,10.263744172788234,0.9966666666666664,0.0,0.9840867381435332,0.0,0.982907354431134,0.0,0.9832972259521678,0.0,0.9981338148396943,0.0,0.9981510748356872,0.0
LCO-RVFL,27.3,10.263744172788234,0.9966666666666664,0.0,0.9840867381435332,0.0,0.982907354431134,0.0,0.9832972259521678,0.0,0.9981338148396943,0.0,0.9981510748356872,0.0
QLE-SCA-RVFL,27.3,10.263744172788234,0.9966666666666664,0.0,0.9840867381435332,0.0,0.982907354431134,0.0,0.9832972259521678,0.0,0.9981338148396943,0.0,0.9981510748356872,0.0
RIME-RVFL,27.3,10.263744172788234,0.9966666666666664,0.0,0.9840867381435332,0.0,0.982907354431134,0.0,0.9832972259521678,0.0,0.9981338148396943,0.0,0.9981510748356872,0.0
SADE-RVFL,27.3,10.263744172788234,0.9966666666666664,0.0,0.9840867381435332,0.0,0.982907354431134,0.0,0.9832972259521678,0.0,0.9981338148396943,0.0,0.9981510748356872,0.0
SHADE-RVFL,27.3,10.263744172788234,0.9966666666666664,0.0,0.9840867381435332,0.0,0.982907354431134,0.0,0.9832972259521678,0.0,0.9981338148396943,0.0,0.9981510748356872,0.0
SHIO-RVFL,27.3,10.263744172788234,0.9977777777777778,0.0,0.9896118012422359,0.0,0.990387537993921,0.0,0.9899677753289252,0.0,0.9987535704081584,0.0,0.9987428650171484,0.0
