,seed,seed,MAE,MAE,RMSE,RMSE,NNSE,NNSE,WI,WI,R,R,KGE,KGE
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
A-EO-RVFL,27.3,10.263744172788234,0.059392185859214894,0.0,0.0899272793476799,0.0,0.8174557699474407,0.0,0.9340602110826094,0.0,0.8817338777413608,0.0,0.8486557494891592,0.0
AIW-PSO-RVFL,27.3,10.263744172788234,0.06334757905303542,0.000668103697158531,0.09094966520292316,4.856539248261278e-05,0.8140576423506376,0.0001616507520964248,0.9354228629068121,3.4937252688911456e-05,0.8803389023679535,0.00013579504711584472,0.867482681995291,0.0021149021377223675
BBO-RVFL,27.3,10.263744172788234,0.06381592089196883,0.002851937251824021,0.10040504206178132,0.0002552220026725619,0.782242266011994,0.0008658620212989725,0.9125955958583754,0.004408715504263577,0.8512411172750356,0.002011208166013496,0.7976917438789861,0.02665343327609666
CL-PSO-RVFL,27.3,10.263744172788234,0.06521768008967382,0.0007381954032342548,0.09768754603490745,3.276910763495391e-05,0.7914451982853075,0.00011074128997166112,0.9198463926304765,0.00184920467698355,0.8593587514846528,0.0007897955731897987,0.8216971434853363,0.010559187732134535
EFO-RVFL,27.3,10.263744172788234,0.069197335792129,0.0,0.10032019540802431,0.0,0.7825302672246175,0.0,0.9192555299667241,0.0,0.8531783418543226,0.0,0.8397499413838542,0.0
HHO-RVFL,27.3,10.263744172788234,0.05959034366565026,6.703658728127282e-05,0.09219825038369951,6.49296017735431e-05,0.8098944606377827,0.00021690298663916958,0.9294273333185543,0.0003818687211002695,0.8763426997154088,0.00016928614838076654,0.840695921766881,0.0025109242651278085
IM-ARO-RVFL,27.3,10.263744172788234,0.0606702471007803,0.0,0.0927521372900002,0.0,0.8080432472783527,0.0,0.9310569249413951,0.0,0.8752643743435847,0.0,0.8572723175870418,0.0
INFO-RVFL,27.3,10.263744172788234,0.06534462341099545,0.004507320997233382,0.09839007255196117,0.00765205439793994,0.7889573512203312,0.025948310406824965,0.9205518536738081,0.011899183219533559,0.8587113744747098,0.021901872099937773,0.8311896927313068,0.02179959780802148
LCO-RVFL,27.3,10.263744172788234,0.0642540572156174,0.0027435870503388117,0.09807925702709487,0.004423957953108224,0.7900579054352272,0.014800895950204642,0.9200878239242826,0.008336934709051044,0.8574967219742154,0.01351735101145458,0.8239050483242142,0.022106365188954022
QLE-SCA-RVFL,27.3,10.263744172788234,0.06357284517713412,0.0019732038000161477,0.09365854208914585,0.006249757404582238,0.804905382434888,0.021132456434353276,0.9308148672458408,0.009232302607453852,0.8729278410014129,0.01646376860589454,0.8579715898624867,0.020015061594080664
RIME-RVFL,27.3,10.263744172788234,0.0635945910000292,0.0,0.0967921076833681,0.0,0.7944688301388253,0.0,0.9202075193712262,0.0,0.863101786945683,0.0,0.8168108798488557,0.0
SADE-RVFL,27.3,10.263744172788234,0.05963342065317954,0.0003114327798502755,0.09034859809097326,0.0005439201587400702,0.8160553648831383,0.0018079151639958557,0.933354753066436,0.0009107423826959414,0.8805585718981488,0.001517313319153472,0.8473680543576393,0.0016624072664563317
SHADE-RVFL,27.3,10.263744172788234,0.06318832963412946,0.0037733450345057563,0.09532164974322056,0.0050606689146850585,0.7993407856536369,0.016987969904973966,0.9245004924059742,0.009611090554125769,0.8663751624755396,0.015624451540061618,0.8291642355089213,0.028607394490651167
SHIO-RVFL,27.3,10.263744172788234,0.0597811331377864,0.0,0.0923830432699544,0.0,0.8092771439156172,0.0,0.9283405158852872,0.0,0.8758609028907285,0.0,0.8335497060278915,0.0
