model_name,seed,size_hidden,act_name,weight_initializer,trainer,alpha
BBO-RVFL,10,79,swish,random_normal,L2,0.6475343884807115
BBO-RVFL,15,60,swish,random_uniform,MPI,0.9508317053976189
BBO-RVFL,21,60,swish,random_uniform,MPI,0.9508317053976189
BBO-RVFL,24,60,swish,random_uniform,MPI,0.9508317053976189
BBO-RVFL,27,60,swish,random_uniform,MPI,0.9508317053976189
BBO-RVFL,29,60,swish,random_uniform,MPI,0.9508317053976189
BBO-RVFL,30,24,swish,random_uniform,MPI,2.280114830629921
BBO-RVFL,35,79,swish,random_normal,L2,0.6475343884807115
BBO-RVFL,40,24,swish,random_uniform,MPI,2.280114830629921
BBO-RVFL,42,60,swish,random_uniform,MPI,0.9508317053976189
SADE-RVFL,10,100,gelu,glorot_uniform,L2,0.01
SADE-RVFL,15,100,gelu,he_uniform,L2,0.01
SADE-RVFL,21,100,gelu,glorot_uniform,L2,0.01
SADE-RVFL,24,100,gelu,he_uniform,L2,0.01
SADE-RVFL,27,100,gelu,glorot_uniform,L2,0.01
SADE-RVFL,29,100,gelu,he_uniform,L2,0.01
SADE-RVFL,30,100,gelu,glorot_uniform,L2,0.01
SADE-RVFL,35,100,gelu,he_uniform,L2,0.01
SADE-RVFL,40,100,gelu,he_uniform,L2,0.01
SADE-RVFL,42,100,gelu,he_uniform,L2,0.01
SHADE-RVFL,10,100,sigmoid,random_normal,L2,0.01
SHADE-RVFL,15,88,relu,orthogonal,L2,0.01
SHADE-RVFL,21,54,gelu,orthogonal,MPI,0.2845276327945929
SHADE-RVFL,24,85,leaky_relu,orthogonal,L2,0.01
SHADE-RVFL,27,46,silu,random_uniform,MPI,9.202589666365425
SHADE-RVFL,29,100,sigmoid,random_normal,L2,0.01
SHADE-RVFL,30,47,swish,random_uniform,MPI,3.0681937606367837
SHADE-RVFL,35,45,swish,random_uniform,MPI,9.226297376272333
SHADE-RVFL,40,21,swish,random_uniform,MPI,9.17061177803925
SHADE-RVFL,42,100,swish,he_uniform,L2,0.01
LCO-RVFL,10,45,swish,random_uniform,MPI,5.477677154997346
LCO-RVFL,15,90,tanh,he_uniform,MPI,5.779403755078173
LCO-RVFL,21,45,swish,random_uniform,MPI,5.477677154997346
LCO-RVFL,24,90,tanh,he_uniform,MPI,5.779403755078173
LCO-RVFL,27,45,swish,random_uniform,MPI,5.477677154997346
LCO-RVFL,29,45,swish,random_uniform,MPI,5.477677154997346
LCO-RVFL,30,45,swish,random_uniform,MPI,5.477677154997346
LCO-RVFL,35,39,sigmoid,orthogonal,MPI,3.730371921035461
LCO-RVFL,40,45,swish,random_uniform,MPI,5.477677154997346
LCO-RVFL,42,45,swish,random_uniform,MPI,5.477677154997346
INFO-RVFL,10,90,tanh,he_uniform,MPI,10.0
INFO-RVFL,15,96,tanh,orthogonal,MPI,10.0
INFO-RVFL,21,96,tanh,orthogonal,MPI,10.0
