model_name,seed,MAE,RMSE,NNSE,WI,R,KGE
BBO-RVFL,10,0.12898261384191195,0.1604953614824058,0.6662363857022916,0.8132530116491107,0.7083232736830634,0.601351628716176
BBO-RVFL,15,0.12892194295721648,0.16195830317541118,0.6621888543632234,0.8136072160853342,0.7019532967246697,0.606530640554267
BBO-RVFL,21,0.1339048945431596,0.16641271087074028,0.649945532154524,0.790809157378183,0.6809831918398478,0.558721368937551
BBO-RVFL,24,0.12560913148072234,0.15888769546793208,0.6706985865531995,0.8253308988725402,0.7157402015463578,0.6321870671875597
BBO-RVFL,27,0.122486340138141,0.15680579089448923,0.6764982956423428,0.8281749926040651,0.7247428256534532,0.6365103315293392
BBO-RVFL,29,0.12966687684359204,0.1618979495541448,0.6623555845975015,0.8174209211423376,0.7027706267121988,0.6216858075693058
BBO-RVFL,30,0.13301511883451506,0.16586153278630017,0.6514536482470568,0.8005134647133023,0.6840035515345487,0.5834313681816742
BBO-RVFL,35,0.12629828875768442,0.15932346787019744,0.6694876238989544,0.8218726599499838,0.7132405932981876,0.6206115416219992
BBO-RVFL,40,0.13335735555549946,0.16596753949339577,0.6511634418514075,0.7969877541852164,0.6833100244438184,0.5754328752223876
BBO-RVFL,42,0.12971148339040248,0.16147075725436852,0.6635363483108272,0.8132957315858531,0.7041889422066248,0.6051590655839401
SADE-RVFL,10,0.12951886905435114,0.1605930946439028,0.6659655958080569,0.812262930605044,0.7078854549957445,0.5977089660502979
SADE-RVFL,15,0.1293449531981707,0.16325367766274063,0.658615620500637,0.8148471248996924,0.6978597211686837,0.6177709674057907
SADE-RVFL,21,0.12663649772351365,0.16030505472852194,0.6667638282677611,0.8234909163703145,0.7096459476965916,0.6290821078925979
SADE-RVFL,24,0.12629995432793373,0.15969884931290063,0.6684453353030763,0.8229150719701089,0.7121402562449499,0.6269700520904562
SADE-RVFL,27,0.1262092288650904,0.16087499786707796,0.6651848355119029,0.8233497457827617,0.7075942517696148,0.6310651724273078
SADE-RVFL,29,0.12618219253195162,0.15937008904555294,0.6693581318000755,0.8247614476768542,0.7135969801584832,0.6303111712338604
SADE-RVFL,30,0.12722643997755376,0.15855979143514431,0.671610490688891,0.8213349107618495,0.7154463477577326,0.6123929955841334
SADE-RVFL,35,0.1262217888839582,0.16083971793869933,0.6652825216064211,0.8150358327307488,0.7058364016836948,0.6021324575016463
SADE-RVFL,40,0.12729824267112572,0.16105660276089956,0.6646821074172781,0.818925097461594,0.7077011726236622,0.6263418686730904
SADE-RVFL,42,0.1254818604485749,0.15783961493281623,0.6736153769635964,0.8268234054074894,0.7200275102426404,0.6335899349305705
SHADE-RVFL,10,0.13357675996915117,0.16781051228024688,0.6461299168543153,0.7831679616643148,0.6978891564397688,0.5792827525110941
SHADE-RVFL,15,0.12959183394284304,0.16345901062068863,0.6580501611854199,0.8148526467521203,0.6972360957983429,0.619220565971031
SHADE-RVFL,21,0.12634694416285083,0.15856087802919483,0.6716074678811063,0.8279403926928794,0.7177426368590181,0.641167312964916
SHADE-RVFL,24,0.12578397141207598,0.1600374068245567,0.6675059774570035,0.821275237529178,0.7106618230888013,0.6234345473573631
SHADE-RVFL,27,0.12506883659584647,0.1580285017747672,0.6730892654269496,0.831565230258204,0.719425856630257,0.6424517694942952
SHADE-RVFL,29,0.12618219253195162,0.15937008904555294,0.6693581318000755,0.8247614476768542,0.7135969801584832,0.6303111712338604
SHADE-RVFL,30,0.12722643997755376,0.15855979143514431,0.671610490688891,0.8213349107618495,0.7154463477577326,0.6123929955841334
SHADE-RVFL,35,0.1262217888839582,0.16083971793869933,0.6652825216064211,0.8150358327307488,0.7058364016836948,0.6021324575016463
SHADE-RVFL,40,0.12839496702429143,0.1612986337932387,0.6640124053558444,0.8134285506882446,0.7039853113230422,0.6009819500195319
SHADE-RVFL,42,0.12760950453239223,0.15966146433021944,0.6685491031986173,0.8210148978816232,0.7117335008780743,0.618018989839648
LCO-RVFL,10,0.13072214240732383,0.16231518931015207,0.6612033836314255,0.8064385255898922,0.6992248902351166,0.5832444973430326
LCO-RVFL,15,0.129344953146133,0.16325367758371398,0.6586156207183159,0.8148471248868105,0.6978597214102873,0.6177709668306746
