model_name,time_taken,AS,PS,RS,F1S,SS,NPV
RIME-RVFL,59.72164010000415,0.9961111111111111,0.9814751233620989,0.9800999490705374,0.9805016768947871,0.997826184731118,0.9978496534197013
SHADE-RVFL,62.868991900002584,0.9961111111111111,0.9814751233620989,0.9800999490705374,0.9805016768947871,0.997826184731118,0.9978496534197013
INFO-RVFL,54.904098900035024,0.9950000000000001,0.9752235758573422,0.9756415486891081,0.9753790042160373,0.9972105980017021,0.9972069247721989
GridSearchCV,27794.291071199987,0.9905555555555555,0.9514490895877913,0.9522382444694303,0.9514451731119733,0.9947612816965463,0.9947440544799571
RandomizedSearchCV,46.066205899987835,0.9922222222222222,0.9623224250682064,0.9610788241795752,0.9616006926040402,0.9956546962754654,0.9956648059205909
