model_name,seed,epoch,loss
BBO-RVFL,10,1,0.02930326570606649
BBO-RVFL,10,2,0.029253070754824077
BBO-RVFL,10,3,0.029253070754824077
BBO-RVFL,10,4,0.029233596185841804
BBO-RVFL,10,5,0.02923200556904428
BBO-RVFL,10,6,0.02923200556904428
BBO-RVFL,10,7,0.02923200556904428
BBO-RVFL,10,8,0.02923200556904428
BBO-RVFL,10,9,0.02923200556904428
BBO-RVFL,10,10,0.02923200556904428
BBO-RVFL,10,11,0.02923200556904428
BBO-RVFL,10,12,0.02923200556904428
BBO-RVFL,10,13,0.02923200556904428
BBO-RVFL,10,14,0.02923200556904428
BBO-RVFL,10,15,0.02923200556904428
BBO-RVFL,10,16,0.02923200556904428
BBO-RVFL,10,17,0.02923200556904428
BBO-RVFL,10,18,0.02923200556904428
BBO-RVFL,10,19,0.02923200556904428
BBO-RVFL,10,20,0.02923200556904428
BBO-RVFL,10,21,0.02923200556904428
BBO-RVFL,10,22,0.02923200556904428
BBO-RVFL,10,23,0.02923200556904428
BBO-RVFL,10,24,0.02923200556904428
BBO-RVFL,10,25,0.029231640381187564
BBO-RVFL,10,26,0.029230139067062833
BBO-RVFL,10,27,0.029230139067062833
BBO-RVFL,10,28,0.029230139067062833
BBO-RVFL,10,29,0.029230139067062833
BBO-RVFL,10,30,0.029230139067062833
BBO-RVFL,10,31,0.029230139067062833
BBO-RVFL,10,32,0.029230139067062833
BBO-RVFL,10,33,0.029230139067062833
BBO-RVFL,10,34,0.029230139067062833
BBO-RVFL,10,35,0.029230139067062833
BBO-RVFL,10,36,0.029230139067062833
BBO-RVFL,10,37,0.029230139067062833
BBO-RVFL,10,38,0.029230139067062833
BBO-RVFL,10,39,0.029230139067062833
BBO-RVFL,10,40,0.029230139067062833
BBO-RVFL,10,41,0.029230139067062833
BBO-RVFL,10,42,0.029230139067062833
BBO-RVFL,10,43,0.029230139067062833
BBO-RVFL,10,44,0.029230139067062833
BBO-RVFL,10,45,0.029230139067062833
BBO-RVFL,10,46,0.029226499496466284
BBO-RVFL,10,47,0.029226499496466284
BBO-RVFL,10,48,0.029226499496466284
BBO-RVFL,10,49,0.029226499496466284
BBO-RVFL,10,50,0.029226499496466284
BBO-RVFL,15,1,0.02930326570606649
BBO-RVFL,15,2,0.029217762510494648
BBO-RVFL,15,3,0.029217762510494648
BBO-RVFL,15,4,0.029205374515909988
BBO-RVFL,15,5,0.029205374515909988
BBO-RVFL,15,6,0.029205374515909988
BBO-RVFL,15,7,0.029205374515909988
BBO-RVFL,15,8,0.029205374515909988
