model_name,seed,size_hidden,act_name,weight_initializer,trainer,alpha
BBO-RVFL,10,66,silu,random_normal,L2,6.96305644080002
BBO-RVFL,15,69,selu,random_normal,L2,5.653889766320764
BBO-RVFL,21,66,silu,random_normal,L2,6.96305644080002
BBO-RVFL,24,66,silu,random_normal,L2,6.96305644080002
BBO-RVFL,27,79,silu,random_normal,L2,9.056795168481818
BBO-RVFL,29,66,silu,random_normal,L2,6.96305644080002
BBO-RVFL,30,79,silu,random_normal,L2,9.056795168481818
BBO-RVFL,35,66,silu,random_normal,L2,6.96305644080002
BBO-RVFL,40,66,silu,random_normal,L2,6.96305644080002
BBO-RVFL,42,79,swish,random_normal,L2,9.056795168481818
SADE-RVFL,10,5,rrelu,lecun_normal,L2,0.01
SADE-RVFL,15,7,rrelu,lecun_normal,L2,0.01
SADE-RVFL,21,10,prelu,glorot_normal,L2,0.01
SADE-RVFL,24,12,prelu,glorot_normal,L2,0.01
SADE-RVFL,27,16,rrelu,lecun_normal,L2,0.01
SADE-RVFL,29,5,rrelu,random_normal,L2,0.01
SADE-RVFL,30,5,celu,glorot_normal,L2,0.01
SADE-RVFL,35,11,leaky_relu,glorot_normal,L2,0.0227113733937516
SADE-RVFL,40,67,celu,lecun_normal,L2,0.01
SADE-RVFL,42,9,rrelu,glorot_normal,L2,0.0941515578984508
SHADE-RVFL,10,91,selu,random_normal,L2,6.38122873799945
SHADE-RVFL,15,67,swish,glorot_normal,L2,0.0159506651005391
SHADE-RVFL,21,67,celu,lecun_normal,L2,0.01
SHADE-RVFL,24,70,hard_shrink,orthogonal,L2,2.698232329047274
SHADE-RVFL,27,5,celu,glorot_normal,L2,0.01
SHADE-RVFL,29,59,selu,random_normal,L2,5.629208744245318
SHADE-RVFL,30,69,selu,random_normal,L2,6.490388742004532
SHADE-RVFL,35,59,swish,lecun_normal,L2,0.01
SHADE-RVFL,40,67,silu,glorot_normal,L2,0.0160694209455059
SHADE-RVFL,42,68,celu,glorot_normal,L2,0.0191852169687908
LCO-RVFL,10,40,hard_tanh,he_uniform,L2,0.0225273719510938
LCO-RVFL,15,5,celu,glorot_normal,MPI,10.0
LCO-RVFL,21,5,celu,glorot_normal,MPI,10.0
LCO-RVFL,24,5,celu,glorot_normal,L2,0.01
LCO-RVFL,27,5,celu,glorot_normal,MPI,10.0
LCO-RVFL,29,28,silu,random_uniform,L2,0.01
LCO-RVFL,30,29,hard_tanh,he_uniform,L2,0.01
LCO-RVFL,35,40,hard_tanh,he_uniform,L2,0.0287264560439856
LCO-RVFL,40,5,celu,glorot_normal,MPI,10.0
LCO-RVFL,42,40,hard_tanh,he_uniform,L2,0.0413297406187866
INFO-RVFL,10,91,selu,random_normal,L2,7.713339270270602
INFO-RVFL,15,5,rrelu,lecun_normal,L2,0.011631851413789
INFO-RVFL,21,91,selu,random_normal,L2,6.524275195273344
INFO-RVFL,24,91,selu,random_normal,L2,6.266697972447784
INFO-RVFL,27,53,rrelu,he_uniform,L2,1.5257215333472698
INFO-RVFL,29,91,selu,random_normal,L2,6.266363223798997
INFO-RVFL,30,5,silu,random_normal,L2,0.0415728482068466
INFO-RVFL,35,91,selu,random_normal,L2,6.264732888367384
INFO-RVFL,40,91,selu,random_normal,L2,6.309137534208973
INFO-RVFL,42,91,selu,random_normal,L2,6.265949500783212
QLE-SCA-RVFL,10,18,hard_shrink,glorot_uniform,L2,1.6368552590146577
QLE-SCA-RVFL,15,79,mish,he_normal,L2,0.0222783004472488
