,seed,seed,MAE,MAE,RMSE,RMSE,NNSE,NNSE,WI,WI,R,R,KGE,KGE
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
A-EO-RVFL,27.3,10.263744172788234,0.12715490421621528,0.001362076530978014,0.16037097588838928,0.0013255961675365268,0.6665856813822989,0.003672080019571389,0.8200272451334799,0.0039057052635582063,0.7090877369072267,0.005943738415528206,0.6212993261876805,0.008056868969558425
AIW-PSO-RVFL,27.3,10.263744172788234,0.12782107123609632,0.002965472716153696,0.1598429904443983,0.001723105612806562,0.6680527681585406,0.00479253358395365,0.8192695551523614,0.008576371996247112,0.7121701495106583,0.008046939615996847,0.6195142148841296,0.02160754172056126
BBO-RVFL,27.3,10.263744172788234,0.12930036651425336,0.00023202254806580516,0.16082230881552484,0.0003131492879324367,0.6653309849995027,0.0008673480803689509,0.8157345591948619,0.0006963046371679951,0.7068069456577591,0.0017368949094473255,0.6086770664198986,0.0023871051399643925
CL-PSO-RVFL,27.3,10.263744172788234,0.12903695087083472,8.038737774363089e-05,0.16084846704094685,3.477960883218288e-05,0.6652582988395854,9.630389475983934e-05,0.8153303449685838,0.00013022434997678938,0.7069588587216923,0.00015332515314859106,0.6090525943396757,0.00022862680289366326
EFO-RVFL,27.3,10.263744172788234,0.1319814339676797,0.0008701059713408084,0.16535615102505827,0.0008271618607683563,0.6528401516353809,0.002272914855731992,0.8047442761812638,0.0030695803783099187,0.6872083937913185,0.003783969518827682,0.5958196238328675,0.005588903124814553
HHO-RVFL,27.3,10.263744172788234,0.1288143854831689,0.0,0.1618340333279647,0.0,0.662532180484326,0.0,0.8155523754538188,0.0,0.7024571797159659,0.0,0.6115642585260497,0.0
IM-ARO-RVFL,27.3,10.263744172788234,0.1276491896110574,0.0,0.1606414127313921,0.0,0.6658317410271415,0.0,0.8193197097194131,0.0,0.7075061171806176,0.0,0.6170593452938243,0.0
INFO-RVFL,27.3,10.263744172788234,0.12821884371721234,0.002414780958789955,0.16027387763422102,0.0024302491871948887,0.6668659359638369,0.006714170347162766,0.8186562051529986,0.0077563480688580926,0.7101640841061024,0.011824962611003718,0.614407914068669,0.024039728356602105
LCO-RVFL,27.3,10.263744172788234,0.12582896918308267,0.0022093898743047375,0.15853922297785425,0.0025553793491084062,0.6716838423412836,0.007109643611165341,0.8259275034408221,0.007995306923700865,0.7165104651686252,0.010873594716799244,0.6291880703261954,0.014902889830676537
QLE-SCA-RVFL,27.3,10.263744172788234,0.1282650596568951,0.002005102962194263,0.1610289293262694,0.001797344563030494,0.6647672896812423,0.004969161536927252,0.818757041900918,0.0057775603453293365,0.7065670578184726,0.007710401649020755,0.6193457560618332,0.011345119506674276
RIME-RVFL,27.3,10.263744172788234,0.12810900879431858,0.0010991636155124889,0.15949870305999397,0.0006075868250511658,0.6690018999155506,0.0016874735012602756,0.8198332282840853,0.0029926824482236487,0.7137722897405044,0.003002888572308876,0.6198658363030852,0.007610042471190235
SADE-RVFL,27.3,10.263744172788234,0.12859289645858735,0.0012244972374031071,0.16178845556554655,0.0020909145867012676,0.6626702136575926,0.005752035769734808,0.8170064324941588,0.0035797425585880594,0.7053123243957419,0.003697303439929077,0.6139134222558505,0.018259339749209593
SHADE-RVFL,27.3,10.263744172788234,0.12740982755775634,0.0012976484308468074,0.16011976488593538,0.0009716373965938269,0.6672800122244592,0.0026929293801752244,0.8188237962974684,0.004673245082249569,0.7106086233482211,0.004494005469282222,0.6176800444396389,0.01336727394261414
SHIO-RVFL,27.3,10.263744172788234,0.12783097317532563,0.0015561285206543317,0.1604322575066589,0.0012650060017077233,0.6664153909372377,0.003508373329738052,0.8194342191812571,0.004128399975878026,0.7084391133434593,0.00610917136605885,0.6167076619702332,0.010926047510896755
