,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
A-EO-RVFL,27.3,10.263744172788234,0.9911111111111112,0.011475506210984851,0.9866666666666667,0.017213259316477346,0.9878787878787879,0.015648417560434058,0.9866332497911445,0.017256400317270652,0.9936507936507937,0.008196790150703495,0.9933333333333334,0.00860662965823868
AIW-PSO-RVFL,27.3,10.263744172788234,0.9777777777777781,0.0,0.9666666666666668,0.0,0.9696969696969695,0.0,0.9665831244778612,0.0,0.9841269841269842,0.0,0.9833333333333334,0.0
BBO-RVFL,27.3,10.263744172788234,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
CL-PSO-RVFL,27.3,10.263744172788234,0.9777777777777781,0.0,0.9666666666666668,0.0,0.9696969696969695,0.0,0.9665831244778612,0.0,0.9841269841269842,0.0,0.9833333333333334,0.0
EFO-RVFL,27.3,10.263744172788234,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
HHO-RVFL,27.3,10.263744172788234,0.9777777777777781,0.0,0.9722222222222221,0.0,0.9629629629629628,0.0,0.9658994032395569,0.0,0.9824561403508772,0.0,0.9848484848484848,0.0
IM-ARO-RVFL,27.3,10.263744172788234,0.9777777777777781,0.0,0.9666666666666668,0.0,0.9696969696969695,0.0,0.9665831244778612,0.0,0.9841269841269842,0.0,0.9833333333333334,0.0
INFO-RVFL,27.3,10.263744172788234,0.9777777777777781,0.0,0.9666666666666668,0.0,0.9696969696969695,0.0,0.9665831244778612,0.0,0.9841269841269842,0.0,0.9833333333333334,0.0
LCO-RVFL,27.3,10.263744172788234,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
QLE-SCA-RVFL,27.3,10.263744172788234,0.9777777777777781,0.0,0.9666666666666668,0.0,0.9696969696969695,0.0,0.9665831244778612,0.0,0.9841269841269842,0.0,0.9833333333333334,0.0
RIME-RVFL,27.3,10.263744172788234,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
SADE-RVFL,27.3,10.263744172788234,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
SHADE-RVFL,27.3,10.263744172788234,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
SHIO-RVFL,27.3,10.263744172788234,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
