model_name,seed,size_hidden,act_name,weight_initializer,trainer,alpha
EFO-RVFL,35,63,none,orthogonal,L2,28.77841795948461
EFO-RVFL,40,71,leaky_relu,lecun_normal,L2,35.027772453584745
EFO-RVFL,42,141,leaky_relu,glorot_normal,L2,30.66758402348487
A-EO-RVFL,10,137,gelu,glorot_uniform,L2,1.0907089483878114
A-EO-RVFL,15,104,leaky_relu,glorot_uniform,L2,36.97047462784096
A-EO-RVFL,21,150,leaky_relu,glorot_normal,L2,19.841503472950492
A-EO-RVFL,24,132,relu,glorot_normal,L2,49.314168230600465
A-EO-RVFL,27,124,rrelu,glorot_normal,L2,27.88356483877256
A-EO-RVFL,29,140,relu,glorot_uniform,L2,12.094169069227641
A-EO-RVFL,30,150,rrelu,lecun_normal,L2,20.426956358397074
A-EO-RVFL,35,8,rrelu,glorot_normal,L2,9.467519156047906
A-EO-RVFL,40,145,relu,glorot_normal,L2,23.6352226350782
A-EO-RVFL,42,139,relu,he_normal,L2,27.973681661259523
RIME-RVFL,10,69,selu,he_uniform,L2,7.472613332870191
RIME-RVFL,15,132,relu,orthogonal,L2,17.99405554827159
RIME-RVFL,21,48,silu,glorot_uniform,L2,43.973877307447346
RIME-RVFL,24,96,tanh,glorot_normal,L2,45.61161437602997
RIME-RVFL,27,114,rrelu,he_normal,L2,44.95774283851961
RIME-RVFL,29,150,rrelu,he_uniform,L2,42.18350031248852
RIME-RVFL,30,17,hard_sigmoid,glorot_normal,L2,28.22914621679472
RIME-RVFL,35,59,tanh,lecun_uniform,L2,15.395619702134857
RIME-RVFL,40,150,rrelu,he_normal,L2,27.27036954205135
RIME-RVFL,42,143,relu,glorot_normal,L2,28.341607778342652
IM-ARO-RVFL,10,113,swish,glorot_normal,L2,0.4044408994363067
IM-ARO-RVFL,15,15,celu,glorot_normal,L2,35.34764714781988
IM-ARO-RVFL,21,150,leaky_relu,glorot_normal,L2,19.778012967588587
IM-ARO-RVFL,24,135,relu,glorot_normal,L2,40.35371023968768
IM-ARO-RVFL,27,117,selu,orthogonal,L2,18.756576451216986
IM-ARO-RVFL,29,150,leaky_relu,glorot_uniform,L2,11.386023451059726
IM-ARO-RVFL,30,109,relu,orthogonal,L2,34.88067798789513
IM-ARO-RVFL,35,8,prelu,glorot_normal,L2,14.040823695797142
IM-ARO-RVFL,40,123,relu,glorot_normal,L2,32.14004162928777
IM-ARO-RVFL,42,58,gelu,lecun_normal,L2,42.063375267952054
HHO-RVFL,10,65,rrelu,orthogonal,L2,19.072526971477675
HHO-RVFL,15,124,leaky_relu,he_uniform,L2,40.89831330520632
HHO-RVFL,21,36,mish,glorot_uniform,L2,27.956068433799665
HHO-RVFL,24,103,leaky_relu,lecun_normal,L2,21.172973192907296
HHO-RVFL,27,68,rrelu,glorot_normal,L2,14.570488670954662
HHO-RVFL,29,90,gelu,he_uniform,L2,42.42783433743665
HHO-RVFL,30,5,hard_shrink,he_uniform,L2,25.942235861070866
HHO-RVFL,35,52,hard_tanh,glorot_uniform,L2,13.0958945970434
HHO-RVFL,40,128,relu,he_normal,L2,33.55641790734439
HHO-RVFL,42,60,gelu,he_normal,L2,17.315444891369168
AIW-PSO-RVFL,10,78,rrelu,orthogonal,L2,23.049904602538383
AIW-PSO-RVFL,15,121,relu,glorot_uniform,L2,33.63069094200474
AIW-PSO-RVFL,21,136,leaky_relu,lecun_normal,L2,16.36970160290449
AIW-PSO-RVFL,24,21,sigmoid,random_normal,L2,12.58029388498248
AIW-PSO-RVFL,27,75,rrelu,he_normal,L2,21.56628115012793
AIW-PSO-RVFL,29,125,relu,orthogonal,L2,8.323665850177518
AIW-PSO-RVFL,30,105,leaky_relu,orthogonal,L2,31.15801436071285
AIW-PSO-RVFL,35,121,rrelu,he_uniform,L2,28.299115146064572
AIW-PSO-RVFL,40,92,leaky_relu,lecun_normal,L2,7.831061345166578
AIW-PSO-RVFL,42,27,mish,lecun_normal,L2,14.407254343575179
CL-PSO-RVFL,10,24,hard_tanh,he_uniform,L2,15.143527604784198
CL-PSO-RVFL,15,123,leaky_relu,glorot_uniform,L2,29.053284685699445
CL-PSO-RVFL,21,121,leaky_relu,orthogonal,L2,23.410710570665582
CL-PSO-RVFL,24,129,relu,glorot_normal,L2,34.16383600977579
CL-PSO-RVFL,27,111,leaky_relu,lecun_normal,L2,24.190478172070993
CL-PSO-RVFL,29,126,leaky_relu,glorot_uniform,L2,26.040283064005717
CL-PSO-RVFL,30,116,relu,orthogonal,L2,16.084571926166593
CL-PSO-RVFL,35,9,elu,lecun_normal,L2,22.365315948504982
CL-PSO-RVFL,40,84,leaky_relu,glorot_normal,L2,32.40865763391407
CL-PSO-RVFL,42,119,relu,lecun_normal,L2,38.815147306329216
