model_name,seed,MAE,RMSE,NNSE,WI,R,KGE
BBO-RVFL,10,0.10028310093579178,0.14248855509987435,0.732895042737634,0.8801686668271637,0.797382906819757,0.7256351265781742
BBO-RVFL,15,0.10028310093579178,0.14248855509987435,0.732895042737634,0.8801686668271637,0.797382906819757,0.7256351265781742
BBO-RVFL,21,0.10028310093579178,0.14248855509987435,0.732895042737634,0.8801686668271637,0.797382906819757,0.7256351265781742
BBO-RVFL,24,0.10028297578842077,0.1424878065936493,0.7328970994295457,0.8801696564370908,0.7973852312349479,0.7256361171444253
BBO-RVFL,27,0.10028310093579178,0.14248855509987435,0.732895042737634,0.8801686668271637,0.797382906819757,0.7256351265781742
BBO-RVFL,29,0.10028310093579178,0.14248855509987435,0.732895042737634,0.8801686668271637,0.797382906819757,0.7256351265781742
BBO-RVFL,30,0.10028310093579178,0.14248855509987435,0.732895042737634,0.8801686668271637,0.797382906819757,0.7256351265781742
BBO-RVFL,35,0.10028310093579178,0.14248855509987435,0.732895042737634,0.8801686668271637,0.797382906819757,0.7256351265781742
BBO-RVFL,40,0.10028310093579178,0.14248855509987435,0.732895042737634,0.8801686668271637,0.797382906819757,0.7256351265781742
BBO-RVFL,42,0.10028310093579178,0.14248855509987435,0.732895042737634,0.8801686668271637,0.797382906819757,0.7256351265781742
SADE-RVFL,10,0.09795343019352049,0.13880663766127513,0.7430191880188142,0.8879892661670911,0.8088912472674219,0.7390317214481168
SADE-RVFL,15,0.09824942243791748,0.1390048657163356,0.7424738362486484,0.8872735172341824,0.8082429155077193,0.7363228179745931
SADE-RVFL,21,0.09795343019352049,0.13880663766127513,0.7430191880188142,0.8879892661670911,0.8088912472674219,0.7390317214481168
SADE-RVFL,24,0.09795343019352049,0.13880663766127513,0.7430191880188142,0.8879892661670911,0.8088912472674219,0.7390317214481168
SADE-RVFL,27,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
SADE-RVFL,29,0.0984141534253382,0.14168558218231905,0.7351018017981552,0.8835033606884686,0.8002095382208818,0.7354041786596774
SADE-RVFL,30,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
SADE-RVFL,35,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
SADE-RVFL,40,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
SADE-RVFL,42,0.09994673288678427,0.1451300238737542,0.7256422219750007,0.8773502975658982,0.7895164788234111,0.727854367367551
SHADE-RVFL,10,0.09841673530669741,0.141689139506797,0.7350920237091982,0.8834957299195002,0.8001982449914284,0.7353888643377484
SHADE-RVFL,15,0.09825070359601393,0.13900598973064124,0.742470744000831,0.8872702525086424,0.8082393477145493,0.7363122361159617
SHADE-RVFL,21,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
SHADE-RVFL,24,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
SHADE-RVFL,27,0.0984200563284772,0.14169371043452278,0.7350794595302085,0.8834859106810442,0.8001837291784639,0.7353691041877207
SHADE-RVFL,29,0.09825084964977501,0.13900611812929559,0.7424703907665325,0.8872698798939955,0.8082389401961031,0.7363110294137578
SHADE-RVFL,30,0.09842096215808309,0.14169495624521067,0.7350760351554999,0.8834832311983754,0.8001797719456076,0.735363702365872
SHADE-RVFL,35,0.09825083571060599,0.13900610587272536,0.7424704244852731,0.8872699154600925,0.8082389790963417,0.7363111445852213
SHADE-RVFL,40,0.09834060297748203,0.1390608923874078,0.742319703589087,0.8871556559482755,0.8080699016841162,0.736004513533649
SHADE-RVFL,42,0.09825135959969518,0.13900656685180995,0.7424691562974215,0.8872685782146391,0.8082375160788734,0.7363068156472337
LCO-RVFL,10,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
LCO-RVFL,15,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
LCO-RVFL,21,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
LCO-RVFL,24,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
LCO-RVFL,27,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
LCO-RVFL,29,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
LCO-RVFL,30,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
LCO-RVFL,35,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
LCO-RVFL,40,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
LCO-RVFL,42,0.09447616133896146,0.15380468380290158,0.7019324771362179,0.8709255656455173,0.7708014640810882,0.7537928660094537
INFO-RVFL,10,0.09842628556333305,0.14170226952750503,0.7350559330854176,0.8834674735639118,0.8001565336619614,0.7353318509212485
INFO-RVFL,15,0.09842092239256556,0.14169490156485312,0.7350761854560137,0.8834833488352504,0.80017994564286,0.7353639396132456
INFO-RVFL,21,0.10019483443389487,0.1424673065094929,0.7329534283827546,0.8804480463214643,0.7974881681335443,0.7269320912178496
INFO-RVFL,24,0.10019483440790863,0.14246730650518902,0.7329534283945806,0.8804480464277432,0.7974881681636444,0.7269320917390116
INFO-RVFL,27,0.09842093001163915,0.14169491204193624,0.7350761566575372,0.8834833262956732,0.800179912361536,0.7353638941571753
INFO-RVFL,29,0.10019546416902826,0.1424670601181969,0.7329541054059636,0.8804455036399081,0.7974884498501259,0.7269176180721129
INFO-RVFL,30,0.10019483440918141,0.14246730650540618,0.7329534283939838,0.8804480464225368,0.797488168162152,0.7269320917135234
INFO-RVFL,35,0.10019483442555044,0.1424673065081121,0.7329534283865486,0.8804480463556088,0.7974881681432092,0.726932091385296
INFO-RVFL,40,0.10019546416902826,0.1424670601181969,0.7329541054059636,0.8804455036399081,0.7974884498501259,0.7269176180721129
INFO-RVFL,42,0.10019546416902826,0.1424670601181969,0.7329541054059636,0.8804455036399081,0.7974884498501259,0.7269176180721129
QLE-SCA-RVFL,10,0.09981451525205425,0.1424806842689941,0.7329166696811886,0.8817788819059941,0.7977193123891971,0.7339654226037976
QLE-SCA-RVFL,15,0.09981451525205425,0.1424806842689941,0.7329166696811886,0.8817788819059941,0.7977193123891971,0.7339654226037976
QLE-SCA-RVFL,21,0.10011809523903474,0.14147583340298867,0.7356783680115733,0.881636560603592,0.8004827112361037,0.7237540137721405
QLE-SCA-RVFL,24,0.10128110191718674,0.1468623750192405,0.7208923637991858,0.8735782861765682,0.7838222383744913,0.7205872251560022
QLE-SCA-RVFL,27,0.09497005250475135,0.17080795840535593,0.6562899887502329,0.845596773653478,0.7284627700546787,0.7262492952726505
QLE-SCA-RVFL,29,0.10122300569019274,0.1433911765283431,0.7304154466783297,0.8788054469995958,0.7945983748714158,0.7251516172957678
QLE-SCA-RVFL,30,0.09981451525205425,0.1424806842689941,0.7329166696811886,0.8817788819059941,0.7977193123891971,0.7339654226037976
QLE-SCA-RVFL,35,0.0986586343797875,0.1419784667058281,0.7342967940891063,0.8828283981877927,0.7992662500950465,0.7339006189546786
QLE-SCA-RVFL,40,0.10019721478625254,0.14246769876854262,0.732952350550687,0.8804386371365955,0.7974854741857494,0.7268860339668486
QLE-SCA-RVFL,42,0.10013953228263876,0.1450948145065121,0.7257388217015686,0.8781711934036588,0.7899759822735978,0.7338672116869209
SHIO-SCA-RVFL,10,0.1016404434172374,0.14360638244764923,0.729824428336293,0.8788451704455753,0.7939204042004331,0.7237723041082773
SHIO-SCA-RVFL,15,0.1016404434172374,0.14360638244764923,0.729824428336293,0.8788451704455753,0.7939204042004331,0.7237723041082773
SHIO-SCA-RVFL,21,0.1016404434172374,0.14360638244764923,0.729824428336293,0.8788451704455753,0.7939204042004331,0.7237723041082773
SHIO-SCA-RVFL,24,0.1016404434172374,0.14360638244764923,0.729824428336293,0.8788451704455753,0.7939204042004331,0.7237723041082773
SHIO-SCA-RVFL,27,0.1016404434172374,0.14360638244764923,0.729824428336293,0.8788451704455753,0.7939204042004331,0.7237723041082773
SHIO-SCA-RVFL,29,0.1016404434172374,0.14360638244764923,0.729824428336293,0.8788451704455753,0.7939204042004331,0.7237723041082773
SHIO-SCA-RVFL,30,0.1016404434172374,0.14360638244764923,0.729824428336293,0.8788451704455753,0.7939204042004331,0.7237723041082773
SHIO-SCA-RVFL,35,0.1016404434172374,0.14360638244764923,0.729824428336293,0.8788451704455753,0.7939204042004331,0.7237723041082773
SHIO-SCA-RVFL,40,0.1016404434172374,0.14360638244764923,0.729824428336293,0.8788451704455753,0.7939204042004331,0.7237723041082773
SHIO-SCA-RVFL,42,0.1016404434172374,0.14360638244764923,0.729824428336293,0.8788451704455753,0.7939204042004331,0.7237723041082773
EFO-RVFL,10,0.10257157408492525,0.14426086701032137,0.7280274699218932,0.8760034322682656,0.7915789188806255,0.7145948578615843
EFO-RVFL,15,0.10257157408492525,0.14426086701032137,0.7280274699218932,0.8760034322682656,0.7915789188806255,0.7145948578615843
EFO-RVFL,21,0.10257157408492525,0.14426086701032137,0.7280274699218932,0.8760034322682656,0.7915789188806255,0.7145948578615843
EFO-RVFL,24,0.10257157408492525,0.14426086701032137,0.7280274699218932,0.8760034322682656,0.7915789188806255,0.7145948578615843
EFO-RVFL,27,0.10257157408492525,0.14426086701032137,0.7280274699218932,0.8760034322682656,0.7915789188806255,0.7145948578615843
EFO-RVFL,29,0.10257157408492525,0.14426086701032137,0.7280274699218932,0.8760034322682656,0.7915789188806255,0.7145948578615843
EFO-RVFL,30,0.10257157408492525,0.14426086701032137,0.7280274699218932,0.8760034322682656,0.7915789188806255,0.7145948578615843
EFO-RVFL,35,0.10257157408492525,0.14426086701032137,0.7280274699218932,0.8760034322682656,0.7915789188806255,0.7145948578615843
EFO-RVFL,40,0.10257157408492525,0.14426086701032137,0.7280274699218932,0.8760034322682656,0.7915789188806255,0.7145948578615843
EFO-RVFL,42,0.10257157408492525,0.14426086701032137,0.7280274699218932,0.8760034322682656,0.7915789188806255,0.7145948578615843
A-EO-RVFL,10,0.09825080249849737,0.13900607667196013,0.742470504818761,0.8872700001964048,0.8082390717747155,0.7363114189858981
A-EO-RVFL,15,0.09825080249849737,0.13900607667196013,0.742470504818761,0.8872700001964048,0.8082390717747155,0.7363114189858981
A-EO-RVFL,21,0.09825080249849737,0.13900607667196013,0.742470504818761,0.8872700001964048,0.8082390717747155,0.7363114189858981
A-EO-RVFL,24,0.09825080249849737,0.13900607667196013,0.742470504818761,0.8872700001964048,0.8082390717747155,0.7363114189858981
A-EO-RVFL,27,0.09825080249849737,0.13900607667196013,0.742470504818761,0.8872700001964048,0.8082390717747155,0.7363114189858981
A-EO-RVFL,29,0.09825080249849737,0.13900607667196013,0.742470504818761,0.8872700001964048,0.8082390717747155,0.7363114189858981
A-EO-RVFL,30,0.09825080249849737,0.13900607667196013,0.742470504818761,0.8872700001964048,0.8082390717747155,0.7363114189858981
A-EO-RVFL,35,0.09825080249849737,0.13900607667196013,0.742470504818761,0.8872700001964048,0.8082390717747155,0.7363114189858981
A-EO-RVFL,40,0.09825080249849737,0.13900607667196013,0.742470504818761,0.8872700001964048,0.8082390717747155,0.7363114189858981
A-EO-RVFL,42,0.09825080249849737,0.13900607667196013,0.742470504818761,0.8872700001964048,0.8082390717747155,0.7363114189858981
RIME-RVFL,10,0.09907774226322731,0.14182662187986245,0.7347141344643495,0.8823635774617908,0.7995985786026555,0.7313308663201448
RIME-RVFL,15,0.09907774226322731,0.14182662187986245,0.7347141344643495,0.8823635774617908,0.7995985786026555,0.7313308663201448
RIME-RVFL,21,0.09907774226322731,0.14182662187986245,0.7347141344643495,0.8823635774617908,0.7995985786026555,0.7313308663201448
RIME-RVFL,24,0.09907774226322731,0.14182662187986245,0.7347141344643495,0.8823635774617908,0.7995985786026555,0.7313308663201448
RIME-RVFL,27,0.09907774226322731,0.14182662187986245,0.7347141344643495,0.8823635774617908,0.7995985786026555,0.7313308663201448
RIME-RVFL,29,0.09907774226322731,0.14182662187986245,0.7347141344643495,0.8823635774617908,0.7995985786026555,0.7313308663201448
RIME-RVFL,30,0.09907774226322731,0.14182662187986245,0.7347141344643495,0.8823635774617908,0.7995985786026555,0.7313308663201448
RIME-RVFL,35,0.09907774226322731,0.14182662187986245,0.7347141344643495,0.8823635774617908,0.7995985786026555,0.7313308663201448
RIME-RVFL,40,0.09907774226322731,0.14182662187986245,0.7347141344643495,0.8823635774617908,0.7995985786026555,0.7313308663201448
RIME-RVFL,42,0.09907774226322731,0.14182662187986245,0.7347141344643495,0.8823635774617908,0.7995985786026555,0.7313308663201448
LARO-RVFL,10,0.09842663655269424,0.13913179385360183,0.7421246522348204,0.8869487407091723,0.80784466387597,0.7353339616750729
LARO-RVFL,15,0.09842663655269424,0.13913179385360183,0.7421246522348204,0.8869487407091723,0.80784466387597,0.7353339616750729
LARO-RVFL,21,0.09842663655269424,0.13913179385360183,0.7421246522348204,0.8869487407091723,0.80784466387597,0.7353339616750729
LARO-RVFL,24,0.09842663655269424,0.13913179385360183,0.7421246522348204,0.8869487407091723,0.80784466387597,0.7353339616750729
LARO-RVFL,27,0.09842663655269424,0.13913179385360183,0.7421246522348204,0.8869487407091723,0.80784466387597,0.7353339616750729
LARO-RVFL,29,0.09842663655269424,0.13913179385360183,0.7421246522348204,0.8869487407091723,0.80784466387597,0.7353339616750729
LARO-RVFL,30,0.09842663655269424,0.13913179385360183,0.7421246522348204,0.8869487407091723,0.80784466387597,0.7353339616750729
LARO-RVFL,35,0.09842663655269424,0.13913179385360183,0.7421246522348204,0.8869487407091723,0.80784466387597,0.7353339616750729
