,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
A-EO-RVFL,27.3,10.263744172788234,0.849213691026827,0.0,0.8162854566322348,0.0,0.8203854873400378,0.0,0.8182809172429085,0.0,0.8203854873400378,0.0,0.8162854566322348,0.0
AIW-PSO-RVFL,27.3,10.263744172788234,0.8519888991674376,0.0,0.8189052732160788,0.0,0.8270434898147304,0.0,0.8227578291523201,0.0,0.8270434898147304,0.0,0.8189052732160788,0.0
BBO-RVFL,27.3,10.263744172788234,0.849213691026827,0.0,0.8162854566322348,0.0,0.8203854873400378,0.0,0.8182809172429085,0.0,0.8203854873400378,0.0,0.8162854566322348,0.0
CL-PSO-RVFL,27.3,10.263744172788234,0.852913968547641,0.0,0.8214492933814082,0.0,0.8220525830641343,0.0,0.8217498032163624,0.0,0.8220525830641343,0.0,0.8214492933814082,0.0
EFO-RVFL,27.3,10.263744172788234,0.8445883441258093,0.0,0.8097499779557351,0.0,0.8208878997500395,0.0,0.8148882039238711,0.0,0.8208878997500395,0.0,0.8097499779557351,0.0
HHO-RVFL,27.3,10.263744172788234,0.8538390379278444,0.0,0.8217108977978544,0.0,0.8264663383685299,0.0,0.8240168319361671,0.0,0.8264663383685299,0.0,0.8217108977978544,0.0
IM-ARO-RVFL,27.3,10.263744172788234,0.845513413506013,0.0,0.8111702127659575,0.0,0.8196588578214401,0.0,0.815169593648928,0.0,0.8196588578214401,0.0,0.8111702127659575,0.0
INFO-RVFL,27.3,10.263744172788234,0.8418131359851989,0.0,0.8084582619952394,0.0,0.8067061676313539,0.0,0.8075721535458685,0.0,0.8067061676313539,0.0,0.8084582619952394,0.0
LCO-RVFL,27.3,10.263744172788234,0.852913968547641,0.0,0.8207165109034268,0.0,0.8248739816806319,0.0,0.8227402812369476,0.0,0.8248739816806319,0.0,0.8207165109034268,0.0
QLE-SCA-RVFL,27.3,10.263744172788234,0.845513413506013,0.0,0.8111702127659575,0.0,0.8196588578214401,0.0,0.815169593648928,0.0,0.8196588578214401,0.0,0.8111702127659575,0.0
RIME-RVFL,27.3,10.263744172788234,0.849213691026827,0.0,0.8162854566322348,0.0,0.8203854873400378,0.0,0.8182809172429085,0.0,0.8203854873400378,0.0,0.8162854566322348,0.0
SADE-RVFL,27.3,10.263744172788234,0.849213691026827,0.0,0.8162854566322348,0.0,0.8203854873400378,0.0,0.8182809172429085,0.0,0.8203854873400378,0.0,0.8162854566322348,0.0
SHADE-RVFL,27.3,10.263744172788234,0.845513413506013,0.0,0.8111702127659575,0.0,0.8196588578214401,0.0,0.815169593648928,0.0,0.8196588578214401,0.0,0.8111702127659575,0.0
SHIO-RVFL,27.3,10.263744172788234,0.8390379278445883,0.0,0.8054216159002705,0.0,0.8019290975676597,0.0,0.8036351108698376,0.0,0.8019290975676597,0.0,0.8054216159002705,0.0
