model_name,seed,size_hidden,act_name,weight_initializer,trainer,alpha
BBO-RVFL,10,196,gelu,random_uniform,MPI,6.9767066103030455
BBO-RVFL,15,196,gelu,random_uniform,MPI,6.9767066103030455
BBO-RVFL,21,196,gelu,random_uniform,MPI,6.9767066103030455
BBO-RVFL,24,196,gelu,random_uniform,MPI,6.9767066103030455
BBO-RVFL,27,196,gelu,random_uniform,MPI,6.9767066103030455
BBO-RVFL,29,196,gelu,random_uniform,MPI,6.9767066103030455
BBO-RVFL,30,196,gelu,random_uniform,MPI,6.9767066103030455
BBO-RVFL,35,196,gelu,random_uniform,MPI,6.9767066103030455
BBO-RVFL,40,196,gelu,random_uniform,MPI,6.9767066103030455
BBO-RVFL,42,196,gelu,random_uniform,MPI,6.9767066103030455
SADE-RVFL,10,196,gelu,random_uniform,MPI,10.0
SADE-RVFL,15,196,gelu,random_uniform,MPI,10.0
SADE-RVFL,21,196,gelu,random_uniform,MPI,10.0
SADE-RVFL,24,196,gelu,random_uniform,MPI,10.0
SADE-RVFL,27,196,gelu,random_uniform,MPI,10.0
SADE-RVFL,29,196,gelu,random_uniform,MPI,10.0
SADE-RVFL,30,196,gelu,random_uniform,MPI,10.0
SADE-RVFL,35,196,gelu,random_uniform,MPI,10.0
SADE-RVFL,40,196,gelu,random_uniform,MPI,10.0
SADE-RVFL,42,196,gelu,random_uniform,MPI,10.0
SHADE-RVFL,10,196,sigmoid,random_uniform,MPI,0.01
SHADE-RVFL,15,196,sigmoid,random_uniform,MPI,0.01
SHADE-RVFL,21,196,sigmoid,random_uniform,MPI,0.01
SHADE-RVFL,24,196,sigmoid,random_uniform,MPI,0.01
SHADE-RVFL,27,196,sigmoid,random_uniform,MPI,0.01
SHADE-RVFL,29,196,sigmoid,random_uniform,MPI,0.01
SHADE-RVFL,30,196,sigmoid,random_uniform,MPI,0.01
SHADE-RVFL,35,196,sigmoid,random_uniform,MPI,0.01
SHADE-RVFL,40,196,sigmoid,random_uniform,MPI,0.01
SHADE-RVFL,42,196,sigmoid,random_uniform,MPI,0.01
LCO-RVFL,10,199,swish,random_uniform,MPI,9.988719989554632
LCO-RVFL,15,199,swish,random_uniform,MPI,9.988719989554632
LCO-RVFL,21,199,swish,random_uniform,MPI,9.988719989554632
LCO-RVFL,24,199,swish,random_uniform,MPI,9.988719989554632
LCO-RVFL,27,199,swish,random_uniform,MPI,9.988719989554632
LCO-RVFL,29,199,swish,random_uniform,MPI,9.988719989554632
LCO-RVFL,30,199,swish,random_uniform,MPI,9.988719989554632
LCO-RVFL,35,199,swish,random_uniform,MPI,9.988719989554632
LCO-RVFL,40,199,swish,random_uniform,MPI,9.988719989554632
LCO-RVFL,42,199,swish,random_uniform,MPI,9.988719989554632
INFO-RVFL,10,200,hard_shrink,random_normal,L2,5.886575647181707
INFO-RVFL,15,200,hard_shrink,random_normal,L2,5.886575647181707
INFO-RVFL,21,200,hard_shrink,random_normal,L2,5.886575647181707
INFO-RVFL,24,200,hard_shrink,random_normal,L2,5.886575647181707
INFO-RVFL,27,200,hard_shrink,random_normal,L2,5.886575647181707
INFO-RVFL,29,200,hard_shrink,random_normal,L2,5.886575647181707
INFO-RVFL,30,200,hard_shrink,random_normal,L2,5.886575647181707
INFO-RVFL,35,200,hard_shrink,random_normal,L2,5.886575647181707
INFO-RVFL,40,200,hard_shrink,random_normal,L2,5.886575647181707
INFO-RVFL,42,200,hard_shrink,random_normal,L2,5.886575647181707
QLE-SCA-RVFL,10,197,sigmoid,random_uniform,MPI,0.8315583462275545
QLE-SCA-RVFL,15,197,sigmoid,random_uniform,MPI,0.8315583462275545
QLE-SCA-RVFL,21,197,sigmoid,random_uniform,MPI,0.8315583462275545
QLE-SCA-RVFL,24,197,sigmoid,random_uniform,MPI,0.8315583462275545
QLE-SCA-RVFL,27,197,sigmoid,random_uniform,MPI,0.8315583462275545
QLE-SCA-RVFL,29,197,sigmoid,random_uniform,MPI,0.8315583462275545
QLE-SCA-RVFL,30,197,sigmoid,random_uniform,MPI,0.8315583462275545
QLE-SCA-RVFL,35,197,sigmoid,random_uniform,MPI,0.8315583462275545
QLE-SCA-RVFL,40,197,sigmoid,random_uniform,MPI,0.8315583462275545
QLE-SCA-RVFL,42,197,sigmoid,random_uniform,MPI,0.8315583462275545
SHIO-RVFL,10,196,hard_shrink,random_normal,L2,9.268382238597532
SHIO-RVFL,15,196,hard_shrink,random_normal,L2,9.268382238597532
SHIO-RVFL,21,196,hard_shrink,random_normal,L2,9.268382238597532
SHIO-RVFL,24,196,hard_shrink,random_normal,L2,9.268382238597532
SHIO-RVFL,27,196,hard_shrink,random_normal,L2,9.268382238597532
SHIO-RVFL,29,196,hard_shrink,random_normal,L2,9.268382238597532
SHIO-RVFL,30,196,hard_shrink,random_normal,L2,9.268382238597532
SHIO-RVFL,35,196,hard_shrink,random_normal,L2,9.268382238597532
SHIO-RVFL,40,196,hard_shrink,random_normal,L2,9.268382238597532
SHIO-RVFL,42,196,hard_shrink,random_normal,L2,9.268382238597532
EFO-RVFL,10,196,elu,glorot_normal,MPI,6.320327347229428
EFO-RVFL,15,196,elu,glorot_normal,MPI,6.320327347229428
EFO-RVFL,21,196,elu,glorot_normal,MPI,6.320327347229428
EFO-RVFL,24,196,elu,glorot_normal,MPI,6.320327347229428
EFO-RVFL,27,196,elu,glorot_normal,MPI,6.320327347229428
EFO-RVFL,29,196,elu,glorot_normal,MPI,6.320327347229428
EFO-RVFL,30,196,elu,glorot_normal,MPI,6.320327347229428
EFO-RVFL,35,196,elu,glorot_normal,MPI,6.320327347229428
EFO-RVFL,40,196,elu,glorot_normal,MPI,6.320327347229428
EFO-RVFL,42,196,elu,glorot_normal,MPI,6.320327347229428
A-EO-RVFL,10,196,gelu,random_uniform,MPI,0.1547099353866885
A-EO-RVFL,15,196,gelu,random_uniform,MPI,0.1547099353866885
A-EO-RVFL,21,196,gelu,random_uniform,MPI,0.1547099353866885
A-EO-RVFL,24,196,gelu,random_uniform,MPI,0.1547099353866885
A-EO-RVFL,27,196,gelu,random_uniform,MPI,0.1547099353866885
A-EO-RVFL,29,196,gelu,random_uniform,MPI,0.1547099353866885
A-EO-RVFL,30,196,gelu,random_uniform,MPI,0.1547099353866885
A-EO-RVFL,35,196,gelu,random_uniform,MPI,0.1547099353866885
A-EO-RVFL,40,196,gelu,random_uniform,MPI,0.1547099353866885
A-EO-RVFL,42,196,gelu,random_uniform,MPI,0.1547099353866885
RIME-RVFL,10,196,gelu,random_uniform,MPI,6.035574825729338
RIME-RVFL,15,196,gelu,random_uniform,MPI,6.035574825729338
RIME-RVFL,21,196,gelu,random_uniform,MPI,6.035574825729338
RIME-RVFL,24,196,gelu,random_uniform,MPI,6.035574825729338
RIME-RVFL,27,196,gelu,random_uniform,MPI,6.035574825729338
RIME-RVFL,29,196,gelu,random_uniform,MPI,6.035574825729338
RIME-RVFL,30,196,gelu,random_uniform,MPI,6.035574825729338
RIME-RVFL,35,196,gelu,random_uniform,MPI,6.035574825729338
RIME-RVFL,40,196,gelu,random_uniform,MPI,6.035574825729338
RIME-RVFL,42,196,gelu,random_uniform,MPI,6.035574825729338
IM-ARO-RVFL,10,196,sigmoid,random_uniform,MPI,9.64481353639742
IM-ARO-RVFL,15,196,sigmoid,random_uniform,MPI,9.64481353639742
IM-ARO-RVFL,21,196,sigmoid,random_uniform,MPI,9.64481353639742
IM-ARO-RVFL,24,196,sigmoid,random_uniform,MPI,9.64481353639742
IM-ARO-RVFL,27,196,sigmoid,random_uniform,MPI,9.64481353639742
IM-ARO-RVFL,29,196,sigmoid,random_uniform,MPI,9.64481353639742
IM-ARO-RVFL,30,196,sigmoid,random_uniform,MPI,9.64481353639742
IM-ARO-RVFL,35,196,sigmoid,random_uniform,MPI,9.64481353639742
IM-ARO-RVFL,40,196,sigmoid,random_uniform,MPI,9.64481353639742
IM-ARO-RVFL,42,196,sigmoid,random_uniform,MPI,9.64481353639742
HHO-RVFL,10,200,gelu,random_uniform,MPI,10.0
HHO-RVFL,15,200,gelu,random_uniform,MPI,10.0
HHO-RVFL,21,200,gelu,random_uniform,MPI,10.0
HHO-RVFL,24,200,gelu,random_uniform,MPI,10.0
HHO-RVFL,27,200,gelu,random_uniform,MPI,10.0
HHO-RVFL,29,200,gelu,random_uniform,MPI,10.0
HHO-RVFL,30,200,gelu,random_uniform,MPI,10.0
HHO-RVFL,35,200,gelu,random_uniform,MPI,10.0
HHO-RVFL,40,200,gelu,random_uniform,MPI,10.0
HHO-RVFL,42,200,gelu,random_uniform,MPI,10.0
AIW-PSO-RVFL,10,186,sigmoid,he_uniform,MPI,7.041886887795416
