,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
A-EO-RVFL,27.3,10.263744172788234,0.9157333333333334,0.0011842588972865219,0.873826020885601,0.0017608592688101883,0.8743459590485013,0.0017906510856131692,0.87340255569876,0.001801566494795965,0.936949564050968,0.0008963146116303947,0.9370319181389674,0.0008679113539958414
AIW-PSO-RVFL,27.3,10.263744172788234,0.9166666666666666,0.0,0.8750227252666718,4.923410462094665e-05,0.8757256044436975,4.1090871768044296e-05,0.8747988121311637,1.5619965228969008e-05,0.9376698938679617,3.413717457841442e-06,0.9376769280833711,3.77974007549929e-05
BBO-RVFL,27.3,10.263744172788234,0.9166000000000001,0.0005837300238472478,0.8750151394793246,0.0009753713235406271,0.875629730854039,0.0009338100164659574,0.8747357855807211,0.0009092159988136233,0.9375946829327887,0.0004360952063038913,0.9376276706742223,0.00044567903421856536
CL-PSO-RVFL,27.3,10.263744172788234,0.9160666666666668,0.002361209148291472,0.8745461594605896,0.0038425304990036325,0.8748817474256116,0.0035837195251411584,0.8738382232728453,0.0035657231488729654,0.9371894404521065,0.001751585870850952,0.9373968502482611,0.0018372050770731146
EFO-RVFL,27.3,10.263744172788234,0.9166666666666666,0.0,0.875303517636819,0.0,0.8757875272581905,0.0,0.8748272246634258,0.0,0.9376493831352967,0.0,0.9377361715494702,0.0
HHO-RVFL,27.3,10.263744172788234,0.9166000000000001,0.002443434134649501,0.8755220126033242,0.003500114419717014,0.8755042342386965,0.0037516778997792226,0.8747616613749472,0.0037819304215825703,0.9375545853003053,0.0018237249745062353,0.9376882832611535,0.0017605731583680408
IM-ARO-RVFL,27.3,10.263744172788234,0.9179999999999999,0.0,0.8768590547141855,0.0,0.8775094518968887,0.0,0.8768564525868744,0.0,0.938598077407827,0.0,0.9385726102550013,0.0
INFO-RVFL,27.3,10.263744172788234,0.9161333333333334,0.001533172294280838,0.8743613774793868,0.0022977277986950153,0.8748764615627371,0.002262169648091327,0.8740526876911247,0.002292988094147539,0.9372317687013425,0.0011425284002256396,0.9372619886275275,0.0011598670509974966
LCO-RVFL,27.3,10.263744172788234,0.9169333333333333,0.0008432740427116405,0.8758769626625236,0.001366642725360395,0.8765667684594483,0.001388759012940367,0.875260496452879,0.001270773264543183,0.93782518536289,0.0006342516844832963,0.9380644259388378,0.0006839451881388909
QLE-SCA-RVFL,27.3,10.263744172788234,0.9154,0.0014890547171333697,0.8734964037417597,0.0023893637902263148,0.8739512433957162,0.0022685963008861553,0.872861463421796,0.0021920185467675163,0.9367128332066793,0.0011238150747998029,0.9368723986555096,0.0012003359600182562
RIME-RVFL,27.3,10.263744172788234,0.9206666666666667,0.0,0.8810166362756353,0.0,0.881801935226663,0.0,0.8809777166526613,0.0,0.940626018269062,0.0,0.9405626861767212,0.0
SADE-RVFL,27.3,10.263744172788234,0.9149333333333335,0.0017554149029449869,0.8726672357321835,0.0025186687550566357,0.8731965775323491,0.0026493892586358873,0.8721427888222184,0.0026401417090669427,0.9363576736779017,0.0013220206736665715,0.9365023725321594,0.0012902636994636548
SHADE-RVFL,27.3,10.263744172788234,0.9162666666666667,0.0013033669598768534,0.8745477382985006,0.0018638273048952538,0.8751856209373218,0.0019628859880561097,0.874167929358047,0.0019696111191156987,0.9373634466820064,0.0009849834486493824,0.9374504178508374,0.0009462246611857021
SHIO-RVFL,27.3,10.263744172788234,0.9136666666666666,0.0009026709338483922,0.8714058945791475,0.002655054291187186,0.8713457758160812,0.0014859980485443802,0.8701994427768336,0.0011497377516096524,0.9354009546557916,0.0006737673761136527,0.9357197965570643,0.0011673623797535835
