model_name,seed,MAE,RMSE,NNSE,WI,R,KGE
BBO-RVFL,10,0.10310197369451068,0.1443414493194098,0.7278062708609045,0.8753880083238119,0.7913091487203124,0.7145880925388379
BBO-RVFL,15,0.10128932154197683,0.14269251943212036,0.7323346319528323,0.8782213075826707,0.7965626046951125,0.714498083934348
BBO-RVFL,21,0.09773694767386534,0.13940495551372883,0.7413732089778875,0.8860282845333567,0.8069916237659618,0.7334182285174222
BBO-RVFL,24,0.0994258055582636,0.14172796546585262,0.734985302972636,0.8831424506584852,0.8000500125897811,0.7356722960177653
BBO-RVFL,27,0.1001947431119612,0.14491222507901885,0.7262398067571803,0.8780618047038937,0.7903883248887479,0.7305486600951954
BBO-RVFL,29,0.09788552015490488,0.14030348087206496,0.738901827817997,0.8867943063615997,0.8047142995507416,0.7445042143192182
BBO-RVFL,30,0.1101854788279423,0.6050885658489357,0.13206008425283117,0.29228200019103334,0.2447606556524935,-0.7338089815266402
BBO-RVFL,35,0.09783389547717586,0.1387100413539443,0.7432849453043603,0.8881227378272849,0.8091887275387204,0.7391406329116872
BBO-RVFL,40,0.09938707777373118,0.141331721695803,0.7360745367931618,0.8830982715329545,0.8011082288289619,0.7317430797894131
BBO-RVFL,42,0.09675377691959243,0.13874114216009,0.7431993797236587,0.8876205150126211,0.8090567812725161,0.7375190093678682
SADE-RVFL,10,0.09940192305722167,0.14107757119127612,0.736773261031592,0.883815934680535,0.8019514858300729,0.7333025935616151
SADE-RVFL,15,0.09830875940291225,0.13991068204643334,0.7399821379253192,0.8846687131959413,0.805409036912557,0.730683250936007
SADE-RVFL,21,0.09594325808445914,0.13889057417367487,0.7427882647473376,0.8893713624324092,0.8090273488217095,0.7480273764614032
SADE-RVFL,24,0.09651718877484834,0.14578380608697686,0.7238489417628371,0.8785483244731902,0.7888251701277312,0.7414757326692618
SADE-RVFL,27,0.09653387815406762,0.13812049910588212,0.744907003856364,0.889914243281599,0.8110841977129549,0.7456747516248508
SADE-RVFL,29,0.09747863958613494,0.13948248970280666,0.7411599284384489,0.8877885374254759,0.8070583510761516,0.7437848933945987
SADE-RVFL,30,0.09885102736773048,0.13975207971117018,0.7404183752724702,0.8868567656000389,0.8061463088804615,0.7413590261187397
SADE-RVFL,35,0.09771984004911353,0.13819841945719605,0.7446926058113987,0.8899559542983715,0.8108867856780296,0.7458889655432426
SADE-RVFL,40,0.09692104064528637,0.1405867411424913,0.7381228629263242,0.8858682588569146,0.8037281659877392,0.7411687770410373
SADE-RVFL,42,0.09891776097174547,0.14402734456338961,0.7286685518118075,0.8792446893079927,0.792986030688614,0.7314720070623917
SHADE-RVFL,10,0.09940192450204825,0.14107757153282785,0.7367732600925341,0.8838159320117563,0.8019514843558339,0.7333025814130552
SHADE-RVFL,15,0.0983087599908389,0.13991068238315899,0.7399821369991725,0.8846687120901996,0.8054090358318956,0.7306832473997631
SHADE-RVFL,21,0.0959438817450846,0.1388895807982618,0.742790997664619,0.8893718040469509,0.809029914784536,0.7480226117010896
SHADE-RVFL,24,0.09654922760220853,0.14558930588600064,0.7243823571432152,0.8787770499878254,0.7893516027533285,0.7413433475755256
SHADE-RVFL,27,0.09653387878006503,0.138120500515989,0.7449069999764286,0.889914239208091,0.8110841932099868,0.745674739219798
SHADE-RVFL,29,0.09643543604873558,0.140774279611667,0.7376071734298362,0.8858191439566461,0.8032671739185248,0.7440756181760623
SHADE-RVFL,30,0.09760708117446748,0.14252854599480275,0.732785159691511,0.8836052103496659,0.7982176984344691,0.7434188986571459
SHADE-RVFL,35,0.09725922381245201,0.1397973143163817,0.7402939550567633,0.8874053560245834,0.8061694366910062,0.7447372274802189
SHADE-RVFL,40,0.09692104064528637,0.1405867411424913,0.7381228629263242,0.8858682588569146,0.8037281659877392,0.7411687770410373
SHADE-RVFL,42,0.0963768759078612,0.1384610644461393,0.7439699569536355,0.888707997270014,0.8099808962665395,0.7414285697091509
LCO-RVFL,10,0.10096582584506571,0.14291946844256004,0.7317111352503473,0.8781347464977644,0.7958619661319157,0.7170832870406157
LCO-RVFL,15,0.09830875894293753,0.13991068178298594,0.7399821386499177,0.8846687140610411,0.8054090377580435,0.7306832537026391
