,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
A-EO-RVFL,27.3,10.263744172788234,0.8456651718983558,0.0,0.8483878044664455,0.0,0.8459623509144139,0.0,0.8454361853034955,0.0,0.8459623509144139,0.0,0.8483878044664455,0.0
AIW-PSO-RVFL,27.3,10.263744172788234,0.8471599402092675,0.0,0.849893120324014,0.0,0.8474571868595205,0.0,0.8469331714022509,0.0,0.8474571868595205,0.0,0.849893120324014,0.0
BBO-RVFL,27.3,10.263744172788234,0.8441704035874441,0.0,0.846274373259053,0.0,0.8444323226432452,0.0,0.8439978442777247,0.0,0.8444323226432452,0.0,0.846274373259053,0.0
CL-PSO-RVFL,27.3,10.263744172788234,0.843796711509716,0.0,0.8466465468292685,0.0,0.8441013471957582,0.0,0.8435512340308877,0.0,0.8441013471957582,0.0,0.8466465468292685,0.0
EFO-RVFL,27.3,10.263744172788234,0.8456651718983558,0.0,0.8482957510752784,0.0,0.8459573234392621,0.0,0.8454450042128301,0.0,0.8459573234392621,0.0,0.8482957510752784,0.0
HHO-RVFL,27.3,10.263744172788234,0.8508968609865469,0.0,0.8532059061488673,0.0,0.8511691393465288,0.0,0.8507165570030566,0.0,0.8511691393465288,0.0,0.8532059061488673,0.0
IM-ARO-RVFL,27.3,10.263744172788234,0.8456651718983558,0.0,0.8483878044664455,0.0,0.8459623509144139,0.0,0.8454361853034955,0.0,0.8459623509144139,0.0,0.8483878044664455,0.0
INFO-RVFL,27.3,10.263744172788234,0.8460388639760839,0.0,0.8486265177581857,0.0,0.8463285186879631,0.0,0.845823563105232,0.0,0.8463285186879631,0.0,0.8486265177581857,0.0
LCO-RVFL,27.3,10.263744172788234,0.8482810164424514,0.0,0.8513594240809692,0.0,0.8485959099813816,0.0,0.8480242208705256,0.0,0.8485959099813816,0.0,0.8513594240809692,0.0
QLE-SCA-RVFL,27.3,10.263744172788234,0.8482810164424514,0.0,0.8513594240809692,0.0,0.8485959099813816,0.0,0.8480242208705256,0.0,0.8485959099813816,0.0,0.8513594240809692,0.0
RIME-RVFL,27.3,10.263744172788234,0.8452914798206278,0.0,0.8480580598883247,0.0,0.8455911556657132,0.0,0.8450574532597873,0.0,0.8455911556657132,0.0,0.8480580598883247,0.0
SADE-RVFL,27.3,10.263744172788234,0.8460388639760839,0.0,0.8486265177581857,0.0,0.8463285186879631,0.0,0.845823563105232,0.0,0.8463285186879631,0.0,0.8486265177581857,0.0
SHADE-RVFL,27.3,10.263744172788234,0.8456651718983558,0.0,0.8483878044664455,0.0,0.8459623509144139,0.0,0.8454361853034955,0.0,0.8459623509144139,0.0,0.8483878044664455,0.0
SHIO-RVFL,27.3,10.263744172788234,0.8460388639760839,0.0,0.8486265177581857,0.0,0.8463285186879631,0.0,0.845823563105232,0.0,0.8463285186879631,0.0,0.8486265177581857,0.0
